,제목,설명,저자,출판사,출판일,보유,대출,예약,카테고리
2680,게으름이 습관이 되기 전에,"
작심삼일의 악순환을 단칼에 끊는 단순하지만 강력한 방법!

습관에 관한 수많은 연구와 실험 결과를 공유하며, 전 세계 수많은 이들의 삶을 변화시킨 습관 전문가 스티브 스콧이 게으",스티브 스콧,알에이치코리아,2020-01-02,,,,
9840,부의 5가지 법칙,,김병완,북큐브,2020-01-02,1,0,0,자기관리
9841,미드웨이,,프레더릭 미어스,북큐브,2020-01-02,1,0,0,인문/사회
9842,위쳐 : 3 불의 세례 (상),,안제이 사프콥스키,북큐브,2020-01-02,1,0,0,장르문학
9843,위쳐 : 3 불의 세례 (하),,안제이 사프콥스키,북큐브,2020-01-02,1,0,0,장르문학
9844,미스터리 세계사,,그레이엄 도널드,북큐브,2020-01-02,1,0,0,인문/사회
9845,브레인 이미테이션,,이주완,북큐브,2020-01-02,1,0,0,컴퓨터와인터넷
9846,"70, 두 번째 인생을 배우다",,임장남,북큐브,2020-01-02,1,0,0,문학
9847,영영알 300문장: 악마는 프라다를 입는다,,에코커뮤니케이션즈 영어팀,북큐브,2020-01-02,1,0,0,국어와외국어
9848,감정이 지배하는 사회,,세바스티안 헤르만,교보문고,2020-01-02,1,0,0,인문/사회
9849,나를 사랑하는 연습,,정영욱,교보문고,2020-01-02,2,1,0,자기관리
9850,오늘 아침은 우울하지 않았습니다,,힐러리 제이콥스 헨델,교보문고,2020-01-02,2,0,0,인문/사회
9851,전지적 불평등 시점,,명로진,교보문고,2020-01-02,1,0,0,문학
9852,게으름이 습관이 되기 전에,,스티브 스콧,교보문고,2020-01-02,2,0,0,자기관리
9853,파고다 토익 보카,,파고다교육그룹 언어교육연구소,교보문고,2020-01-02,1,0,0,국어와외국어
9854,인스파이어드,,마티 케이건 저/황진수 역,YES24,2020-01-02,1,0,0,컴퓨터와인터넷
9855,C의 유전자,,제갈현열,교보문고,2020-01-01,2,0,0,자기관리
9856,이파브르의 탐구생활,,이파람 저,YES24,2020-01-01,1,0,0,문학
1445,노골적인 낭만 여행,"여행생활자 꿈의지도 김산환 대표의 삶과 여행, 그리고 음악이 녹아 있는 여행 에세이. 30여 년간 세상을 여행하며 만난 잊을 수 없는 스물두 곳! 생의 기쁨과 슬픔을 추억하게 했던 그날의 기억을 글과 사진에 담았다. 풍경 속으로 더욱...",김산환,꿈의지도,2019-12-31,,,,
9857,회사를 언제까지 다닐 수 있을까,,김홍진,북큐브,2019-12-31,1,0,0,자기관리
9858,먹보 여왕,,애니 그레이,북큐브,2019-12-31,1,0,0,인문/사회
9859,말 한마디로 당신을 안아 줄 수 있다면,,할 어반,북큐브,2019-12-31,2,0,0,인문/사회
9860,지금 바로 써먹는 심리학,,리처드 와이즈먼,북큐브,2019-12-31,2,0,0,인문/사회
9861,보수의 영혼,,전성철,북큐브,2019-12-31,2,0,0,인문/사회
9862,문명 건설 가이드,,라이언 노스,북큐브,2019-12-31,2,0,0,자연과과학
9863,리더의 용기,,브레네 브라운,북큐브,2019-12-31,2,0,0,자기관리
9864,꽃은 알고 있다,,퍼트리샤 월트셔,북큐브,2019-12-31,2,0,0,자연과과학
9865,부자의 독서,,"김학렬, 김로사, 김익수",북큐브,2019-12-31,2,0,0,비즈니스와경제
9866,서가명강-한국 정치의 결정적 순간들,,강원택,북큐브,2019-12-31,2,0,0,인문/사회
9867,노골적인 낭만 여행,,김산환,북큐브,2019-12-31,1,0,0,가정과생활
9868,스코틀랜드 홀리데이 (2020-2021),,장인혜,북큐브,2019-12-31,1,0,0,가정과생활
9869,초보의 순간들,,박성환,북큐브,2019-12-31,1,0,0,문학
9870,포르투갈 홀리데이 (2020-2021),,"맹지나, 우지경",북큐브,2019-12-31,1,0,0,가정과생활
9871,법의 이유,,홍성수,북큐브,2019-12-31,2,0,0,인문/사회
9872,"땅끄부부, 무모하지만 결국엔 참 잘한 일",,땅끄부부,북큐브,2019-12-31,2,0,0,문학
9873,나의 가해자들에게,,씨리얼,북큐브,2019-12-31,2,0,0,문학
9874,대한민국 부동산 사용설명서,,김학렬,북큐브,2019-12-31,1,0,0,비즈니스와경제
9875,예술적 상상력,,오종우,교보문고,2019-12-31,1,0,0,인문/사회
9876,악플러들,,정상민,교보문고,2019-12-31,1,0,0,문학
9877,벽 - 세계단편소설걸작선7,,장 폴 사르트르,교보문고,2019-12-31,1,0,0,문학
9878,인도 이야기,,마이클 우드,북큐브,2019-12-30,1,0,0,인문/사회
9879,"일단 한잔, 안주는 이걸로 하시죠",,구스미 마사유키,북큐브,2019-12-30,1,0,0,문학
9880,올해는 다른 크리스마스,,메이브 빈치,북큐브,2019-12-30,5,0,0,문학
9881,콘텐츠가 전부다,,"노가영, 조형석, 김정현",북큐브,2019-12-30,1,0,0,비즈니스와경제
9882,정치가 던지는 위험,,"콘돌리자 라이스, 에이미 제가트",북큐브,2019-12-30,2,0,0,비즈니스와경제
9883,"빅데이터, 사람을 읽다",,BC카드 빅데이터센터,북큐브,2019-12-30,1,0,0,비즈니스와경제
9884,참선 1,,테오도르 준 박,북큐브,2019-12-30,5,0,0,문학
9885,참선 2,,테오도르 준 박,북큐브,2019-12-30,5,0,0,문학
9886,재무제표를 꿰뚫어보는 법,,양대천,북큐브,2019-12-30,1,1,0,비즈니스와경제
9887,"하루 10분, 엄마의 돈 공부",,김혜원,북큐브,2019-12-30,1,0,0,비즈니스와경제
9888,감정 때문에 마음이 시끄러운 나에게,,김연희,북큐브,2019-12-30,1,0,0,자기관리
9889,나의 첫 미술 공부,,최연욱,북큐브,2019-12-30,1,0,0,예술/대중문화
9890,짐 로저스의 일본에 보내는 경고,,짐 로저스,교보문고,2019-12-30,1,0,0,비즈니스와경제
9891,알파제로를 분석하며 배우는 인공지능,,후루카와 히데카즈,교보문고,2019-12-30,1,0,0,컴퓨터와인터넷
9892,영어는 3단어로 100문장으로 끝내기,,나카야마 유키코,교보문고,2019-12-30,1,0,0,국어와외국어
9893,실패하지 않는 웹소설 연재의 기술,,산경,교보문고,2019-12-30,2,0,0,인문/사회
9894,교실영어 표현사전,,김단해 저,YES24,2019-12-30,1,0,0,국어와외국어
9895,"팅커, 테일러, 솔저, 스파이",,존 르카레 저/이종인 역,YES24,2019-12-30,2,1,0,문학
9896,린치핀,,세스 고딘,교보문고,2019-12-28,1,0,0,자기관리
6073,벌거벗을 용기,"
새로운 기회이자 위기인, 인생 후반을 결정하는 5가지 핵심 전략!

경제학자이자 은퇴 연구 전문가로 지난 7년간 미래에셋은퇴연구소를 이끌며 인생의 전환점을 맞은 수많은 사람들을 ",김경록,흐름출판,2019-12-27,,,,
9897,스몰 스테퍼,,박요철,북큐브,2019-12-27,1,0,0,자기관리
9898,클린 미트,,폴 샤피로,북큐브,2019-12-27,1,0,0,인문/사회
9899,"인공지능(AI)이 만드는 경제 사회의 미래/미 중,한 일 무역분쟁과 세계 무역체제의 미래",,세계경제연구원,교보문고,2019-12-27,1,0,0,비즈니스와경제
9900,기계는 어떻게 생각하는가?,,숀 게리시,교보문고,2019-12-27,2,0,0,컴퓨터와인터넷
9901,하나님의 선물,,"햇살콩(김나단, 김연선)",교보문고,2019-12-27,1,0,0,인문/사회
9902,자바스크립트 코딩의 기술,,조 모건,교보문고,2019-12-27,2,0,0,컴퓨터와인터넷
9903,질병과 약물의 생명과학,,이진성,교보문고,2019-12-27,1,0,0,자연과과학
9904,벌거벗을 용기,,김경록,교보문고,2019-12-27,1,0,0,자기관리
9905,인스타 걸,,김민혜 저,YES24,2019-12-27,1,0,0,문학
9906,공연예술의 품격과 한국 춤의 흐름,,이상일 저,YES24,2019-12-27,1,0,0,예술/대중문화
9907,"어쩌다, 우호 씨가 마주친 세상",,이우호,북큐브,2019-12-26,1,0,0,문학
9908,SF는 정말 끝내주는데,,심완선,북큐브,2019-12-26,1,0,0,예술/대중문화
9909,반물질의 세계,,히로세 다치시게,북큐브,2019-12-26,1,0,0,자연과과학
9910,당신의 마음에 기대어,,송봉은,북큐브,2019-12-26,1,0,0,문학
9911,고개,,안병규,북큐브,2019-12-26,1,0,0,문학
9912,사색의 향기,,조명수,북큐브,2019-12-26,1,0,0,문학
9913,생각의 무기,,"김태형 , 이동필",북큐브,2019-12-26,1,0,0,인문/사회
9914,나에게 준 60번째 생일선물 산티아고,,이혜경,북큐브,2019-12-26,1,0,0,가정과생활
9915,2040 디바이디드,,조병학,교보문고,2019-12-26,1,0,0,비즈니스와경제
9916,업글 인간,,김민지,교보문고,2019-12-26,1,0,0,인문/사회
9917,주식투자 매도하는 법부터 배워라,,김중근,교보문고,2019-12-26,1,0,0,비즈니스와경제
9918,노르딕 환상 동화,,욘 아르나손 외 6인,교보문고,2019-12-25,1,0,0,인문/사회
9919,인생의 승부는 아침에 결정된다,,센다 다쿠야,북큐브,2019-12-24,1,0,0,자기관리
9920,혐오표현을 거절할 자유,,이정희,북큐브,2019-12-24,3,0,0,인문/사회
9921,하버드 인맥 수업,,코니,북큐브,2019-12-24,1,0,0,자기관리
9922,사례중심의 환자안전 안내서,,"김효선, 김현아, 곽미정, 김윤숙",북큐브,2019-12-24,1,0,0,가정과생활
9923,헛어른,,BOTA,북큐브,2019-12-24,1,0,0,문학
9924,부서져 흩어지는 모습을 보여줄게,,타케미야 유유코,교보문고,2019-12-24,1,0,0,문학
9925,돈의 흐름이 보이는 회계 이야기,,구상수,교보문고,2019-12-24,2,0,0,비즈니스와경제
9926,탈세의 세계사,,오무라 오지로,교보문고,2019-12-24,1,0,0,인문/사회
9927,지적 대화를 위한 넓고 얕은 지식: 제로 편,,채사장,교보문고,2019-12-24,1,1,0,인문/사회
9928,미러,,루이스 L. 헤이,교보문고,2019-12-24,1,0,0,자기관리
9929,우주선은 어떻게 비행하는가,,그레이엄 스위너드,교보문고,2019-12-24,1,0,0,자연과과학
9930,왜 역사를 배워야 할까?,,"샘 와인버그 저/정종복,박선경 역",YES24,2019-12-24,1,0,0,인문/사회
9931,두 번째 유모,,듀나 저,YES24,2019-12-24,2,0,0,문학
9932,천국보다 성스러운,,김보영 저/변영근 그림,YES24,2019-12-24,2,0,0,문학
9933,죽기 전에 한 번은 심리학을 만나라,,서상원,북큐브,2019-12-23,1,0,0,인문/사회
9934,행복한 기억이 그곳에 있었다,,김용일,북큐브,2019-12-23,1,0,0,문학
9935,이덕일의 한국통사,,이덕일,북큐브,2019-12-23,1,0,0,인문/사회
9936,Do it! 스위프트로 아이폰 앱 만들기 입문 - 개정 4판,,이범근,교보문고,2019-12-23,2,0,0,컴퓨터와인터넷
9937,"적벽대전, 이길 수밖에 없는 제갈량의 전략기획서",,나단,교보문고,2019-12-23,1,0,0,비즈니스와경제
9938,외로워지면 내 이름을 불러줘,,야마우치 마리코,교보문고,2019-12-23,1,0,0,문학
9939,그래서 철학이 필요해,,고바야시 쇼헤이,교보문고,2019-12-23,1,0,0,인문/사회
9940,나는 당신이 오직 코로 숨 쉬기 바란다,,이우정,교보문고,2019-12-23,1,0,0,가정과생활
9941,월급쟁이 부자는 없다 (개정증보판),,유비(김수영) 저,YES24,2019-12-23,1,0,0,비즈니스와경제
4577,컬러의 힘,"
누구에게나 삶을 바꿔줄 자기만의 컬러가 있다!

지난 20년간 색의 힘을 세상에 알리는 데 전념해온 세계적인 응용색채심리학자인 캐런 할러가 과학과 심리학의 관점에서 색의 힘을 구",캐런 할러,윌북,2019-12-20,,,,
4643,압축 공부,"
“10년 동안 공부에 실패했던 아이들은 
어떻게 1년 만에 상위 1퍼센트가 됐을까?”

7등급에서 1등급으로, 전교 꼴등에서 1등으로
단기간 고속 상승을 이뤄낸 성적 역전왕들의 ",조승우,포레스트북스,2019-12-20,,,,
9942,된다! 파워포인트 실무의 신,,"김지훈, 김봉정, 박성용",북큐브,2019-12-20,2,0,0,컴퓨터와인터넷
9943,생각을 버리는 심리학,,스티브 아얀,북큐브,2019-12-20,1,0,0,인문/사회
9944,에이프릴 마치의 사랑,,이장욱,북큐브,2019-12-20,5,0,0,문학
9945,예순여섯 명의 한기씨,,이만교,북큐브,2019-12-20,5,0,0,문학
9946,말 못하는 사람,,성석제,북큐브,2019-12-20,5,0,0,문학
9947,근데 사실 조금은 굉장하고 영원할 이야기,,성석제,북큐브,2019-12-20,5,0,0,문학
9948,한 사람을 위한 마음,,이주란,북큐브,2019-12-20,5,0,0,문학
9949,흰 도시 이야기,,최정화,북큐브,2019-12-20,5,0,0,문학
9950,쓸모있는 책 읽기,,김호경,북큐브,2019-12-20,1,0,0,인문/사회
9951,변론을 시작하겠습니다,,정혜진,북큐브,2019-12-20,1,0,0,인문/사회
9952,빅 엔젤의 마지막 토요일,,루이스 알베르토 우레아,북큐브,2019-12-20,1,0,0,문학
9953,나를 아프게 하는 사람은 버리기로 했다,,양지아링,북큐브,2019-12-20,1,0,0,자기관리
9954,"모링가, 하루 100원의 기적",,"문현국, 안인자, 문예지",북큐브,2019-12-20,1,0,0,가정과생활
9955,컬러의 힘,,캐런 할러,교보문고,2019-12-20,1,1,0,예술/대중문화
9956,압축 공부,,조승우,교보문고,2019-12-20,1,0,0,자기관리
9957,회사는 싫지만 회사 생활은 잘하고 싶어,,추이추이,교보문고,2019-12-20,1,0,0,자기관리
9958,서울둘레길 157Km 5일완주,,한걸음 저,YES24,2019-12-20,1,0,0,가정과생활
9959,유사역사학 비판,,이문영 저,YES24,2019-12-20,1,0,0,인문/사회
1522,나의 카트린,"
“엄마가 동물이라면 아마도 늑대일 거야. 엄마 늑대는 새끼를 끝까지 보호하니까.“

모성신화 판타지를 해체하고 인간의 민낯을 드러낸 지금 가장 뜨거운 여성 작가
비올렌 위스망이 ",비올렌 위스망,시공사,2019-12-19,,,,
9960,재테크 트렌드 2020,,빠숑 김학렬 외 4명,북큐브,2019-12-19,1,0,0,비즈니스와경제
9961,이번 차는 그냥 보내자 (문학동네시인선 128),,황규관,북큐브,2019-12-19,5,0,0,문학
9962,아우내의 새,,문정희,북큐브,2019-12-19,5,0,0,문학
9963,매우 초록,,노석미,북큐브,2019-12-19,5,0,0,문학
9964,어둠을 뚫고 시가 내게로 왔다,,김현균,북큐브,2019-12-19,2,0,0,인문/사회
9965,그래도 웃으면서 살아갑니다,,"단노 도모후미, 오쿠노 슈지",북큐브,2019-12-19,2,0,0,문학
9966,기적을 만드는 습관의 비밀,,문충태,북큐브,2019-12-19,1,0,0,자기관리
9967,다섯 가지 선물,,"김준기, 유흥배, 진순희, 한일근, 안령",북큐브,2019-12-19,1,0,0,인문/사회
9968,걱정을 잘라드립니다,,탈 벤 샤하르,북큐브,2019-12-19,1,0,0,자기관리
9969,21세기 화폐전쟁,,노르베르트 헤림,북큐브,2019-12-19,1,0,0,비즈니스와경제
9970,스님의 산뜻한 인간관계 정돈법,,마스노 슌묘,북큐브,2019-12-19,1,0,0,자기관리
9971,인공지능과 어떻게 공존할 것인가,,고선규,북큐브,2019-12-19,1,0,0,비즈니스와경제
9972,아주 독립적인 여자 강수하,,강수하,북큐브,2019-12-19,1,0,0,문학
9973,머신러닝 도감,,아키바 신야,교보문고,2019-12-19,1,0,0,컴퓨터와인터넷
9974,습관의 완성,,이범용,교보문고,2019-12-19,1,0,0,자기관리
9975,나의 카트린,,비올렌 위스망,교보문고,2019-12-19,1,0,0,문학
9976,캐리어가 없어도 괜찮아,,박종현,북큐브,2019-12-18,1,0,0,가정과생활
9977,엄마도 퇴근 좀 하겠습니다,,정경미,북큐브,2019-12-18,1,0,0,자기관리
9978,지금 나에게 필요한 긍정심리학,,"류쉬안, 마르코 천",북큐브,2019-12-18,1,0,0,인문/사회
9979,공부하기가 죽기보다 싫을 때 읽는 책,,권혁진,북큐브,2019-12-18,1,0,0,자기관리
9980,인생을 어떻게 살면 좋겠냐고 묻는 딸에게,,한창욱,북큐브,2019-12-18,1,0,0,자기관리
9981,히틀러의 음식을 먹는 여자들,,로셀라 포스토리노,북큐브,2019-12-18,1,0,0,문학
9982,문장의 일,,스탠리 피시,북큐브,2019-12-18,1,0,0,인문/사회
9983,인간의 흑역사,,톰 필립스,북큐브,2019-12-18,1,0,0,인문/사회
9984,인생이 바뀌는 하루 3줄 감사의 기적,,윌 파이,교보문고,2019-12-18,1,0,0,자기관리
9985,야나두 영어회화 패턴31 (멀티eBook),,원예나,교보문고,2019-12-18,1,0,0,국어와외국어
9986,에리히 프롬,,옌스 푀르스터,교보문고,2019-12-18,2,0,0,인문/사회
9987,부동산 소액 투자의 정석,,김원철 저,YES24,2019-12-18,2,0,0,비즈니스와경제
365,생각하는 힘은 유일한 무기가 된다,"
당신의 일과 삶을 지키는
2020 생존의 기술

“돈을 잘 버는 사람들은 어떻게 일할까?”
하루 3시간만 일하며
성과를 3배로 올리는 법

똑같은 시간을 일해도 탁월한 성과를 내",야마구치 요헤이,빈티지하우스,2019-12-17,,,,
6060,할아버지와 꿀벌과 나,"2019 아마존 베스트셀러 
상처 입은 소녀와 양봉가 할아버지, 그리고 꿀벌에 관한 신비로운 이야기
《샌프란시스코 크로니클》기자였으며 PEN USA 문학상을 수상한 메러디스 메이의 아프고도 아름다운 회고록이다. 저자는 다섯 살 무...",메러디스 메이,흐름출판,2019-12-17,,,,
9988,나의 집이 되어가는 중입니다,,이현화,북큐브,2019-12-17,1,0,0,문학
9989,로버트 파우저의 도시 탐구기,,로버트 파우저,북큐브,2019-12-17,2,0,0,인문/사회
9990,우리가 사랑한 소녀들,,"최현미, 노신회",북큐브,2019-12-17,1,0,0,인문/사회
9991,"아무튼, 떡볶이",,요조,북큐브,2019-12-17,1,0,0,문학
9992,작은 집을 짓는 65가지 아이디어,,오쓰카 야스코,북큐브,2019-12-17,1,0,0,가정과생활
9993,대학 혁신을 위한 빅데이터와 학습분석,,Ben Kei Daniel,북큐브,2019-12-17,1,0,0,자연과과학
9994,다시 시작하기 두려운 당신에게,,김예나,북큐브,2019-12-17,1,0,0,자기관리
9995,할아버지와 꿀벌과 나,,메러디스 메이,북큐브,2019-12-17,1,0,0,문학
9996,가장 쉬운 이모티콘 만들기,,정수진,북큐브,2019-12-17,1,0,0,컴퓨터와인터넷
9997,편집 디자인 레이아웃,,김경미,북큐브,2019-12-17,1,0,0,컴퓨터와인터넷
9998,마케터의 기본기,,주세훈,북큐브,2019-12-17,1,0,0,비즈니스와경제
9999,터프 이너프,,데보라 넬슨,북큐브,2019-12-17,1,0,0,인문/사회
10000,수직사회,,스티븐 그레이엄,북큐브,2019-12-17,1,0,0,인문/사회
10001,블로그의 배신,,빅토리아,북큐브,2019-12-17,1,0,0,비즈니스와경제
10002,해빗,,웬디 우드,북큐브,2019-12-17,2,0,0,자기관리
10003,세상을 바꾼 길들임의 역사,,앨리스 로버츠,교보문고,2019-12-17,1,0,0,인문/사회
10004,검은 고양이 카페,,다카하시 유타,교보문고,2019-12-17,1,0,0,문학
10005,생각하는 힘은 유일한 무기가 된다,,야마구치 요헤이,교보문고,2019-12-17,1,0,0,자기관리
10006,영유아 몬테소리 육아대백과,,시모네 데이비스,교보문고,2019-12-17,1,0,0,가정과생활
10007,경희 한국어 첫걸음(English Version)(멀티eBook),,김영은 외,교보문고,2019-12-17,1,0,0,국어와외국어
10008,해빗,,웬디 우드 저/김윤재 역,YES24,2019-12-17,2,0,0,자기관리
5785,포르투갈 셀프트래블 : 2019-2020 최신판,"리스본, 포르투, 신트라, 브라가, 기마랑이스… 포르투갈 주요도시 완전 정복믿고 보는 포르투갈 셀프트래블 개정! 휴대용 맵북으로 더욱 편리하게포르투갈의 구석구석을 전부 소개한다! 리스본 근교와 세계문화유산 투어아는 만큼 보인다! 포르...",송윤경 저,상상출판,2019-12-16,,,,
6487,어느 경영학자의 인생 경영 노트,누구나 한 번뿐인 인생이며 인간으로 태어날 수 있는 확률은 매우 낮다. 따라서 누구에게나 인간으로 태어날 수 있었던 것은 큰 축복이라 할 수 있다. 그런데 이와 같이 귀중한 삶을 아무 의미도 없이 그저 헛되이 시간만 보내고 있을 수 ...,권영화,지식플랫폼,2019-12-16,,,,
10009,세월,,아니 에르노 저/신유진 역,YES24,2019-12-16,1,0,0,문학
10010,자발적 고독,,이동헌,북큐브,2019-12-16,1,0,0,문학
10011,"삶, 이리 힘들어도",,박삼일,북큐브,2019-12-16,1,0,0,문학
10012,어느 경영학자의 인생 경영 노트,,권영화,북큐브,2019-12-16,1,0,0,자기관리
10013,너의 모든 것이 타오른다,,타케미야 유유코,교보문고,2019-12-16,1,0,0,문학
10014,빅 나인,,에이미 웹,교보문고,2019-12-16,1,0,0,비즈니스와경제
10015,"애자일, 민첩하고 유연한 조직의 비밀",,스티븐 데닝,교보문고,2019-12-16,1,0,0,비즈니스와경제
10016,한 줄 정리의 힘,,아사다 스구루,교보문고,2019-12-16,1,0,0,자기관리
10017,우리가 사랑할 때 이야기하지 않는 것들,,에스터 페렐,교보문고,2019-12-16,2,0,0,인문/사회
10018,로봇공학,,정슬,교보문고,2019-12-16,1,0,0,자연과과학
10019,책과 열쇠의 계절,,요네자와 호노부,교보문고,2019-12-16,5,0,0,문학
10020,포르투갈 셀프트래블 : 2019-2020 최신판,,송윤경 저,YES24,2019-12-16,1,0,0,가정과생활
10021,"대한민국 부동산, 어떻게 흘러갈 것인가",,최진곤,교보문고,2019-12-15,1,0,0,비즈니스와경제
10022,구글 스프레드시트 바이블,,다케다 마사토,교보문고,2019-12-15,1,0,0,컴퓨터와인터넷
10023,네이버 스마트스토어 만들기,,권혁중,교보문고,2019-12-15,1,0,0,컴퓨터와인터넷
10024,내가 나라서 네가 너라서,,강희주(희탱),북큐브,2019-12-13,1,0,0,문학
10025,삶을 돌아보는 낮은 생각,,한성욱,북큐브,2019-12-13,1,0,0,문학
10026,우아한 승부사,,조윤제,북큐브,2019-12-13,2,0,0,자기관리
10027,하루키의 언어,,"나카무라 구니오, 도젠 히로코",북큐브,2019-12-13,2,0,0,문학
10028,완전히 새로운 미래가 온다,,고삼석,북큐브,2019-12-13,1,0,0,인문/사회
10029,채용 트렌드 2020,,윤영돈,북큐브,2019-12-13,1,0,0,비즈니스와경제
10030,내가 좋아하는 사람도 나를 좋아했으면,,우연양,북큐브,2019-12-13,1,0,0,문학
10031,마녀의 방,,유동민,북큐브,2019-12-13,1,0,0,장르문학
10032,블라디보스토크 셀프트래블 (2019-2020),,정승원,북큐브,2019-12-13,1,0,0,가정과생활
10033,북유럽 셀프트래블 (2019-2020),,유진선,북큐브,2019-12-13,1,0,0,가정과생활
10034,호주 셀프트래블 (2019-2020),,"앨리스 리, 조윤희, 이은혜, 김지혜",북큐브,2019-12-13,1,1,0,가정과생활
10035,타이완 셀프트래블 (2019-2020),,이주영,북큐브,2019-12-13,1,0,0,가정과생활
10036,다낭 셀프트래블 (2020-2021),,이은영,북큐브,2019-12-13,1,0,0,가정과생활
10037,하와이 셀프트래블 (2020-2021),,"정꽃나래, 정꽃보라",북큐브,2019-12-13,1,0,0,가정과생활
10038,제 마음대로 살아보겠습니다,,이원지,북큐브,2019-12-13,1,0,0,가정과생활
10039,재미있는 심리학 입문,,나카무라 마레아키,북큐브,2019-12-13,1,0,0,자연과과학
10040,뇌가 지어낸 모든 세계,,엘리에저 J. 스턴버그,북큐브,2019-12-13,1,0,0,자연과과학
10041,야밤에 읽는 만화 그리스 로마 신화,,김원경,교보문고,2019-12-13,1,0,0,인문/사회
10042,그거 봤어?,,김학준,교보문고,2019-12-13,1,0,0,문학
10043,세상에 나쁜 곤충은 없다,,안네 스베르드루프-튀게손,교보문고,2019-12-13,2,0,0,자연과과학
10044,나의 엄마와 나,,김문음,교보문고,2019-12-13,5,0,0,문학
10045,수학으로 들어가 과학으로 나오기,,리용러,교보문고,2019-12-13,1,0,0,자연과과학
10046,웹툰 기획 무작정 따라하기,,최이지 저,YES24,2019-12-13,2,0,0,예술/대중문화
10047,오전을 사는 이에게 오후도 미래다,,이국환 저,YES24,2019-12-13,2,0,0,문학
5941,공공연한 고양이,"“다정한 존재의 무게는 가벼울 수 없다”
작은 이웃과 가까워지는 열 편의 짧은 소설

『공공연한 고양이』는 이제는 우리에게 친숙하고 소중한 존재가 된 ‘고양이’에 관한 열 편의 짧은 소설을 모은 작품집이다. 제목 ‘공공연한 고양...","최은영, 조남주, 정용준, 이나경, 강지영, 박민정, 김선영, 김멜라, 양원영, 조예은",자음과모음,2019-12-12,,,,
6163,조지 길더 구글의 종말,"이 책은 구글의 기본 철학이 얼마나 잘못된 것인지를 여실히 보여주고 있다!
_ 피터 틸, 페이팔 창업자이자 《제로 투 원》저자

*   *   *   *   *

IT 기술의 선지자이자 3대 디지털 사상가인 조지 길더의 대담...",조지 길더,청림출판,2019-12-12,,,,
10048,혜능이 오다,,이정우,북큐브,2019-12-12,1,0,0,문학
10049,악의의 질량,,홍성호,북큐브,2019-12-12,1,0,0,문학
10050,100년전 영국언론은 조선을 어떻게 봤을까,,최성락,북큐브,2019-12-12,1,0,0,인문/사회
10051,이것은 어느 늑대 이야기다,,닉 잰스,북큐브,2019-12-12,1,0,0,인문/사회
10052,패시지1,,저스틴 크로닝,북큐브,2019-12-12,2,0,0,문학
10053,패시지2,,저스틴 크로닝,북큐브,2019-12-12,2,0,0,문학
10054,이상할지 모르지만 과학자입니다 - 곤충의 교미,,가미무라 요시타카,북큐브,2019-12-12,2,0,0,자연과과학
10055,이상할지 모르지만 과학자입니다 - 거미줄 바이올린,,오사키 시게요시,북큐브,2019-12-12,2,0,0,자연과과학
10056,"크리스마스, 당신 눈에만 보이는 기적",,헤르만 헤세 외 14명,북큐브,2019-12-12,1,0,0,문학
10057,공공연한 고양이,,"최은영, 조남주, 정용준, 이나경, 강지영, 박민정, 김선영, 김멜라, 양원영, 조예은",북큐브,2019-12-12,1,0,0,문학
10058,조지 길더 구글의 종말,,조지 길더,북큐브,2019-12-12,1,0,0,비즈니스와경제
10059,"이럴 때, 연극",,최여정,북큐브,2019-12-12,1,0,0,예술/대중문화
10060,허형만의 커피스쿨 (개정판),,허형만,북큐브,2019-12-12,1,0,0,가정과생활
10061,프랜차이즈를 이기는 스몰 브랜드의 힘,,박요철,북큐브,2019-12-12,1,0,0,비즈니스와경제
10062,LG WAY 엘지 웨이,,"노경목, 고재연",북큐브,2019-12-12,3,0,0,비즈니스와경제
10063,제대로 화내면 인생이 편해진다,,요시다 다카요시,북큐브,2019-12-12,3,0,0,자기관리
10064,청춘의 재테크 상담소,,스케치,북큐브,2019-12-12,3,0,0,비즈니스와경제
10065,또 다른 10년이 온다,,한상춘,북큐브,2019-12-12,3,0,0,비즈니스와경제
10066,타일러 코웬의 기업을 위한 변론,,타일러 코웬,북큐브,2019-12-12,3,0,0,비즈니스와경제
10067,미국의 불평등은 돌이킬 수 없는가,,척 콜린스,교보문고,2019-12-12,1,0,0,비즈니스와경제
10068,우울할 땐 마카롱보다 마음공부,,김은정,북큐브,2019-12-11,1,0,0,자기관리
10069,벼랑 끝에 선 민주주의,,낸시 매클린,북큐브,2019-12-11,1,0,0,인문/사회
10070,식물의 위로,,박원순,북큐브,2019-12-11,1,0,0,문학
10071,여덟 가지 삶의 태도,,나폴레온 힐,북큐브,2019-12-11,1,0,0,자기관리
10072,숨만 잘 쉬어도 병원에 안 간다,,패트릭 맥커운,북큐브,2019-12-10,1,0,0,가정과생활
10073,나는 무조건 합격하는 공부만 한다,,이윤규,북큐브,2019-12-10,2,0,0,자기관리
10074,사업의 감각,,루디 마조키,북큐브,2019-12-10,1,0,0,비즈니스와경제
10075,이기적 리더십,,서상원,북큐브,2019-12-10,1,0,0,인문/사회
10076,3개월 내 99% 성공하는 실전 온라인 유통 마케팅,,유노연,북큐브,2019-12-10,1,1,0,비즈니스와경제
10077,"부활(Resurrection, 톨스토이 명작) - 고품격 시청각 영문판",,톨스토이,북큐브,2019-12-10,1,0,0,문학
